study_id,question_id,school,gender,response,sentence_score,answer_score,submit_date
1,1,초등학교,남,파란색 전구들과 빨간색 전구들은 병렬로 연결되어 파란색 전구 하나가 고장나더라도 병렬로 연결된 다른 줄의 빨간색 전구들에는 전류가 흐를 수 있었기 때문이다.,0.5,0,2020-04-11
2,2,중학교,여,"액체에서는 따뜻한 액체가 위로 올라가고, 차가운 액체가 아래로 내려가며 열이 전달된다. 그러므로 뜨거운 물을 먼저 특고 나중에 차가운 물을 틀어야 아래에 있는 뜨거운 물이 위로 올라가면서 뜨거운 물과 차가운 물이 골고루 섞일 수 있게 된다.",0.5,1,2020-04-12
3,3,초등학교,남,물질의 상태가 변할 때 물질을 이루는 입자의 종류와 개수는 변하지 않고 입자의 배열만 달라집니다.,0.5,1,2020-04-12
4,4,고등학교,여,나라마다 가진 자원이 다르기 때문입니다.,0.5,0,2020-04-14
5,5,고등학교,남,"식물의 뿌리는 식물체를 지지 및 고정해주는 역할, 양분을 저장하는 역할, 토양속의 물과 무기염류를 식물체로 이동시키는 역할을 한다. ",0.5,1,2020-04-15
6,1,초등학교,남,물질의 상태가 변할 때 물질을 이루는 입자의 종류와 개수는 변하지 않고 입자의 배열만 달라집니다.,0.5,1,2020-05-01
7,2,중학교,여,나라마다 가진 자원이 다르기 때문입니다.,0.5,0,2020-05-02
8,3,초등학교,남,"식물의 뿌리는 식물체를 지지 및 고정해주는 역할, 양분을 저장하는 역할, 토양속의 물과 무기염류를 식물체로 이동시키는 역할을 한다. ",0.5,1,2020-05-03
9,4,고등학교,여,나라마다 가진 자원이 다르기 때문입니다.,0.5,1,2020-05-04
10,5,고등학교,남,"식물의 뿌리는 식물체를 지지 및 고정해주는 역할, 양분을 저장하는 역할, 토양속의 물과 무기염류를 식물체로 이동시키는 역할을 한다. ",0.5,1,2020-05-05